,sentiment,preprocess
693,worry,god cant even catch public transport swine flu shit hous
694,worry,dad said trip uk cancel due swine flu ooop sorri abang
695,neutral,ask karma point pleas
696,love,hahaha alright
697,hate,wake earlier thought dad want food noooo
698,happiness,someon need see lemon tree
699,sadness,think text msg quot subject line quot fail
700,sadness,tummi ach
701,surprise,math quiz meow allergi meow allergi
702,love,want see friend
703,worry,your far away know
704,neutral,said quot wipe slate clean quot jelli
705,happiness,alway work oh yeah still
706,neutral,unless invit come beta key go much help
707,neutral,live
708,sadness,sorri andrew wish someth could
709,sadness,finsh work eleven even allowd cauz realli dont lol
710,empty,anybodi sooo bore
711,sadness,chaseton either pleas heart realli sad
712,happiness,interest show say least recap tomorrow first must sleep work
713,worry,feel like hot box matter go still feel like hot box ice cream work
714,worry,sad pleas get better grandma
715,worry,uuuugh hate everyth
716,worry,gosh today weather horriterr extrem hot lose lot water weight noth
717,worry,take moment reflect annonym back fb safe say anyth someon els anoth friend
718,surprise,hey thank follow mani sydney pastor tweet shame bri pastor twitter behind
719,neutral,cant sister hous net tonit
720,neutral,damn hi facebook wrong add photo
721,surprise,kbangun gara mimpi bad dream
722,neutral,follow follow love pout pleas
723,worry,aww annoy
724,neutral,dont even wii b like xbox use
725,sadness,sleep darn frustrat
726,neutral,didnt get see tonight
727,fun,bff rock california song done stay next hmmm careless whisper
728,sadness,day loneli creep slap
729,sadness,rip kelli fucccccck
730,worry,well vacat let go
731,worry,think ignor best friend jake hate ignor b know thing go
732,love,love way time go week sooooo sorri next week sure
733,neutral,nd last episod jay leno itll never nite twitter
734,sadness,feel good
735,sadness,ok time nodd gon na long day tomorrow say goodby car good
736,neutral,fakin kisha luck
737,worry,take nap work sleep right nap felt soooo good seem like bad idea
738,worry,go home serious enough
739,enthusiasm,count minut dad g friend leav
740,sadness,miss oklahomaaaaa listen citizen cope pass
741,neutral,tens emot
742,enthusiasm,fun miss guy lot
743,worry,make sad
744,neutral,play game watch straight peopl hook leav anoth reason
745,neutral,yeah work today never mind day sun sun sun
746,worry,feel like go cough lung
747,sadness,funni kinda sad last day
748,neutral,think either rememb
749,neutral,anyon got jb live chat school saw joe hug tackl nick lol
750,sadness,jenni fell asleep
751,worry,love can not
752,sadness,wish teas movi night
753,worry,lost follow night nobodi like
754,sadness,miss year forbidden fruit tree garden munch disappoint
755,worry,new phone seen much cellphon commerci
756,worry,soo sad edg page gon na cri
757,worry,time realli need shut go sleep head ach badli realli
758,sadness,love knw gna cut stuff tv
759,neutral,becuz braggin
760,sadness,strict diet ugh feel like cheat day throw everyth
761,worry,oh hub sick hope catch
762,neutral,franz friend think think creepi stalker sommat hmph
763,hate,take back horribl shoe mum made get urgggh nasti footwear problem find shoe
764,worry,ran money r sad panda
765,neutral,find today first kiss
766,sadness,cal dachshund rescu found home foster pup max soooooo sad see leav
767,sadness,wow feel like ish realli feel bad ignor ahol wont overturn prop
768,sadness,work finish pm booooo
769,sadness,wish teas movi night
770,worry,got ta wiat next week btw mumbai
771,neutral,dont know tire today bye time beddi
772,empty,intentando intentarlo
773,sadness,mayb drink feel massiv hangov still yself today
774,worry,realli bad head ach gon na go bed might back mayb bye bye
775,worry,friend travel tale held farewel parti kinda disappoint would still sep fault
776,hate,night talk victor bore night grrrr hate shit
777,enthusiasm,go tomorrow night
778,neutral,ooh maggi goreng yum cant eat sore throat cmin
779,hate,gon na get tri catch high school tomorrow realli suck wish grow
780,neutral,morn breakfast cant decid
781,sadness,sleep lost voic coupl day ago
782,neutral,mention bf bubbl wsop employe event hr aa work doubl next week
783,sadness,sleepi earlier didnt get see matt
784,love,big day day xt launch amaz much free stuff thanx edg telecom found phone cnt afford yet tho
785,worry,oh yeah poorest person shouldnt joke poor peopl
786,sadness,realiz spell quot ador quot wrong tweet must hate
787,neutral,gone
788,worry,oh well hope get better
789,worry,crew pleas dont dont think could wrong number time
790,sadness,glow complexion alway pale
791,sadness,downloadfestiv lineup good thought awesom band festiv miss dl
792,worry,watch gossip girl ageee need tree hill season god slow
793,relief,cycl tho good healthi eat healthi eat contradict term
794,hate,sooo kinda sick tire bs guy dish
795,love,hate fleetwood favorit band jealou ok still love haha
796,surprise,wish carlton game live stupid channel lol
797,worry,earli tomorrow head bed keep say go midday nap happen week yet
798,neutral,up ketauan cabut nih
799,empty,say morn everyon work
800,love,bt gamer like year made attempt lol yea luvd f extent
801,neutral,pm friday left thursday sure
802,worry,sorri got ta let know book week
803,happiness,hahaha oh pleas pomona would love see everyday instead like year
804,worry,miss michigan like wait juli
805,neutral,mayb good night sleep everyon
806,worry,farrrrr pdhpe assign due next week english homework
807,worry,forgot access card car lazi fetch
808,neutral,yea tough keep go sometim sure worth
809,fun,dissapoint hhaha
810,worry,okay see alot post exercis like mad eat sleep
811,sadness,oh tweetdeck malfunct web fixd
812,sadness,sorri still sick know know guess quot pelzer present quot
813,sadness,adam samberg new moon trailor good even bad cabl friday
814,worry,happen afraid miss larg part stori
815,neutral,work
816,neutral,hell ye late
817,worry,fx pc ip audio devic teradici give hard time linux ubuntu jaunti kernel isnt load snd hda intel drv
818,sadness,got ass kick tripoli lol got bad card suck
819,fun,creep ice cream social good time lar real girl sad movi
820,worry,sooo hot hufff
821,worry,close distanc close everyth seem distant
822,sadness,annnnnnddd anoth bite dust
823,worry,ahhhhh quot let right quot dvd broke
824,enthusiasm,hey love ac see onlin yet cant wait buy look amaz
825,worry,thought dwell certain person
826,worry,fml work uniform wash line
827,worry,ohh shit realiz still talk b like time
828,sadness,nd written fuck get less idea everi day everi day
829,worry,naw doesnt match lol shenanigan discuss thing
830,worry,part unfortun
831,worry,dude know person experi sorri someth like went
832,worry,aww well randomli woke sleep mani thing mind
833,worry,babi miss
834,neutral,sinc obvious live alaska radio station get
835,hate,murder two fuck mous cant sleep
836,neutral,oh noe hey tatoo say
837,neutral,vcr
838,sadness,wish could time xbox project tie
839,worry,pancak alway soggi
840,worry,big zongzi lunch ate work work less eat w useless becom
841,hate,sososo bum like realli bum hate rain ruin date
842,hate,work late night notebook qualiti gone hill warrenti servic suck poor peopl buy mac instead
843,surprise,wow hurt way wors thought would
844,worry,none thought make sens sober
845,neutral,know right hope someth come though
846,worry,cant sleep tomorrow must wake earli
847,worry,bodi alreadi develop mind mind refus co oper set schedul
848,neutral,suppos back sun via privat jet btw mite hav stay bymyself thnk god anoth week amp bruno
849,sadness,trash repop get tomorrow night suppos
850,worry,nurs bruis motorbik crash wednesday night leav london workplac ground much harder older get
851,worry,bore headach
852,neutral,huge headach goodnight
853,sadness,feel like crap whenev lay hate heartburn amp backach
854,sadness,miss lone empti without
855,sadness,noic realis exam week forgot whole week unit term thing
856,neutral,justwatch like straight episod escap id discoveri channel guy imprison women kill cook
857,sadness,miss everyon
858,empty,gone bed age ago damn tedtalk got ta get earli
859,neutral,give point
860,hate,make pork product fuck stop import dubai bad time
861,worry,anoth build fail someth right big scheme thing
862,worry,wife took last mcdonald breakfast today
863,love,wish go love sound
864,sadness,sisser move tomorrow make sad actual guess technic coupl hour sinc alreadi friday
865,worry,keep fall asleep suppos awak miss babyy
866,neutral,
867,worry,way nottingham go
868,surprise,churchil down tomorrow
869,neutral,chicago ride call back
870,neutral,goodnight got ta chuck chees tomorrow follow kindergarten shot physic bla
871,worry,need wake earlier actual tire enough fall asleep
872,surprise,bahh polic end parti start
873,neutral,got catch bu work
874,sadness,sad
875,surprise,omg never seen ring creppi ass movi
876,surprise,mannnn got iphon jealou
877,love,funni havent show love yet
878,neutral,absolut nothin
879,love,luv ur admit niley kiss chang mind haha amp sterl jemi still cute
880,neutral,make feel better lost overnight caus post pictur babi
881,sadness,still sick sigh
882,worry,oh poor beth friend naughti unperfect
883,surprise,josh call big bucket ugli wish luck audit tweet
884,sadness,feel realli weird
885,surprise,tri self learn photoshop go well
886,worry,ever seen tv show dead like die becam grim reaper take peopl soul accid
887,neutral,sorri think hope week get better
888,worry,steam punlk fashion show anim north first year sinc torcon back amp miss
889,sadness,throat hurt gon na go read go bed text mee
890,worry,die hangout friday afternoon
891,worry,eh cold
892,neutral,mannnn got iphon jealou
893,sadness,fjdskal realli frustrat
894,neutral,aww youtub
895,sadness,wonder mcdonald long deliv food
896,surprise,weather super weird look like gon na rain today cours darnitt
